stunde;theta_e;I_N;I_N_dir;I_N_dif;I_E;I_E_dir;I_E_dif;I_S;I_S_dir;I_S_dif;I_W;I_W_dir;I_W_dif;I_H;I_H_dir;I_H_dif
4875;18.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4876;17.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4877;17.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4878;17.8;98.523;64.586;33.937;201.08;167.143;33.937;33.937;0.0;33.937;33.937;0.0;33.937;67.989;19.458;48.531
4879;20.6;223.453;118.872;104.581;654.938;550.357;104.581;104.581;0.0;104.581;104.581;0.0;104.581;310.848;174.667;136.18
4880;23.9;181.423;41.613;139.809;880.014;740.205;139.809;139.809;0.0;139.809;139.809;0.0;139.809;544.858;405.036;139.822
4881;26.7;150.011;0.0;150.011;914.414;764.403;150.011;239.064;89.053;150.011;150.011;0.0;150.011;742.297;649.454;92.843
4882;27.8;157.705;0.0;157.705;777.292;619.587;157.705;369.793;212.089;157.705;157.705;0.0;157.705;891.012;820.321;70.691
4883;30.6;155.109;0.0;155.109;559.815;404.706;155.109;456.45;301.341;155.109;155.109;0.0;155.109;980.403;934.028;46.375
4884;31.7;142.278;0.0;142.278;292.682;150.404;142.278;480.0;337.722;142.278;142.278;0.0;142.278;985.151;960.093;25.059
4885;32.8;126.751;0.0;126.751;126.751;0.0;126.751;452.121;325.37;126.751;223.504;96.754;126.751;932.813;918.567;14.245
4886;32.2;117.457;0.0;117.457;117.457;0.0;117.457;390.217;272.76;117.457;428.522;311.065;117.457;846.549;824.95;21.599
4887;32.8;105.364;0.0;105.364;105.364;0.0;105.364;297.016;191.653;105.364;585.093;479.729;105.364;731.806;698.187;33.619
4888;32.2;90.477;0.0;90.477;90.477;0.0;90.477;177.747;87.269;90.477;655.805;565.328;90.477;557.439;522.037;35.401
4889;25.6;75.965;1.161;74.804;74.804;0.0;74.804;74.804;0.0;74.804;122.217;47.413;74.804;156.781;28.374;128.408
4890;23.9;112.656;47.331;65.325;65.325;0.0;65.325;65.325;0.0;65.325;321.504;256.18;65.325;164.897;91.915;72.982
4891;25;12.163;0.656;11.507;11.507;0.0;11.507;11.507;0.0;11.507;13.374;1.867;11.507;21.289;0.289;21
4892;24.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4893;25.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4894;22.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4895;21.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4896;21.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4897;20;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4898;19.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4899;17.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4900;17.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4901;17.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4902;17.8;91.529;59.191;32.339;186.779;154.441;32.339;32.339;0.0;32.339;32.339;0.0;32.339;63.444;17.57;45.874
4903;20.6;212.728;109.835;102.893;618.9;516.008;102.893;102.893;0.0;102.893;102.893;0.0;102.893;297.871;162.406;135.465
4904;23.3;170.927;38.164;132.763;854.499;721.736;132.763;132.763;0.0;132.763;132.763;0.0;132.763;514.941;392.901;122.039
4905;25;145.354;0.0;145.354;871.881;726.527;145.354;232.797;87.442;145.354;145.354;0.0;145.354;705.741;614.913;90.828
4906;27.8;147.92;0.0;147.92;732.305;584.385;147.92;350.855;202.935;147.92;147.92;0.0;147.92;834.604;771.265;63.339
4907;28.3;146.628;0.0;146.628;535.451;388.823;146.628;439.122;292.494;146.628;146.628;0.0;146.628;935.348;894.831;40.516
4908;29.4;136.158;0.0;136.158;281.875;145.717;136.158;466.24;330.083;136.158;136.158;0.0;136.158;949.822;927.617;22.205
4909;31.1;127.422;0.0;127.422;127.422;0.0;127.422;448.773;321.351;127.422;222.124;94.702;127.422;913.584;896.922;16.662
4910;31.1;117.429;0.0;117.429;117.429;0.0;117.429;393.264;275.835;117.429;428.883;311.454;117.429;845.478;823.771;21.707
4911;30.6;132.192;0.0;132.192;132.192;0.0;132.192;258.63;126.438;132.192;444.503;312.311;132.192;549.824;453.166;96.658
4912;18.3;54.302;0.0;54.302;54.302;0.0;54.302;54.678;0.376;54.302;56.676;2.374;54.302;104.345;2.184;102.161
4913;20;82.236;1.392;80.843;80.843;0.0;80.843;80.843;0.0;80.843;146.975;66.132;80.843;176.419;39.388;137.03
4914;22.2;139.736;86.685;53.052;53.052;0.0;53.052;53.052;0.0;53.052;530.45;477.398;53.052;204.124;170.036;34.088
4915;21.1;75.531;49.114;26.417;26.417;0.0;26.417;26.417;0.0;26.417;167.467;141.05;26.417;52.808;21.448;31.36
4916;20;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4917;19.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4918;18.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4919;17.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4920;17.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
